color,team name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,total distance,time slow speed,time boost speed,time supersonic speed,time on ground,time low in air,time high in air,time powerslide,count powerslide,time behind ball,time in front of ball,time defensive half,time offensive half,time defensive third,time neutral third,time offensive third,time ball possession,time ball in own side,demos inflicted,demos taken
blue,KEYANO,490,1233,1,1,7,10,11,2,10,1115,155.34,9122,6224,2898,78,249,1433,677,756,8,65,139.33,148.26,1067,1656,124,2099291,663.74,581.31,204.01,799.45,560.31,89.31,27.79,241,1018.12,430.95,1048.88,400.19,816.18,395.41,237.48,199.23,292.73,1,7
orange,UNLV,490,1439,2,2,7,11,10,1,18.18,1330,150.86,10836,7466,3370,93,296,2895,1491,1404,17,117,222.52,117.04,1962,1470,136,2228098,618.07,588.05,261.45,803.33,566.36,97.89,21.8,183,1068.53,399.05,819.49,648.08,566.4,475.18,425.98,250.27,182.28,7,1
blue,KEYANO,359,1629,4,4,7,11,11,2,36.36,1177,151.35,6865,4687,2178,58,189,1333,698,635,7,55,116.85,104.59,770,1103,19,1518888,487.71,436.88,144.25,605.58,412.52,50.76,19.48,168,815.2,253.64,734.62,334.23,578.01,317.94,172.89,139.22,193.68,3,3
orange,UNLV,359,1155,2,2,7,11,11,4,18.18,1288,157.01,7711,5492,2219,66,197,1555,859,696,9,63,121.81,97.54,962,731,10,1560236,468,415.74,184.09,579.09,420.08,68.64,16.8,146,756.91,310.9,651.54,416.26,481.64,312.18,273.98,136.6,135.08,3,3
blue,KEYANO,337,1069,2,1,4,6,8,1,33.33,1117,152.67,6173,3955,2218,53,173,856,526,330,7,28,114.45,79.41,671,1216,177,1420859,461.63,395.38,137.3,556.47,391.32,46.52,19.53,175,718.77,275.53,771.19,223.11,636.77,236.32,121.21,125.89,221.46,3,6
orange,UNLV,337,798,1,1,2,8,6,2,12.5,1331,147.21,7437,5351,2086,60,184,1852,888,964,10,78,136.58,96.56,1532,535,35,1524804,421.78,390.55,190.98,571.09,389.85,42.37,13.6,126,700.47,302.84,509.25,494.06,321.46,368.67,313.18,177.2,100.88,6,3
blue,KEYANO,380,920,2,0,5,7,10,6,28.57,1135,130.7,6909,4765,2144,56,185,1207,582,625,6,54,178.83,82.04,943,856,21,1619727,477.84,450.25,187.58,588.96,456.84,69.89,19.81,181,780.63,335.07,787.67,328.02,593.88,331.55,190.24,140.2,194.41,5,8
orange,UNLV,380,1663,6,5,4,10,7,2,60,1311,144.58,8339,5969,2370,69,193,1806,1018,788,12,59,131.9,81.03,1419,544,105,1642193,478.85,437.38,206.08,598.53,441.53,82.24,13.98,129,839.69,282.61,703.21,419.09,512.28,351.74,258.29,131.27,144.86,8,5
blue,KEYANO,403,1025,2,1,6,5,10,3,40,1149,151.87,7457,4941,2516,61,206,1284,750,534,9,49,136.27,123.68,1099,1260,179,1778653,529.81,463.85,202.48,684.93,455.01,56.2,21.01,194,897.68,298.47,789.13,407.01,576.98,399.83,219.34,145.3,183.45,1,4
orange,UNLV,403,1129,3,2,2,10,5,2,30,1314,158.45,8917,6380,2537,74,222,2201,1373,828,15,70,143.35,116.24,1498,792,112,1817461,494.28,479.05,231.98,683.74,450.27,71.3,16.73,146,838.58,366.73,749.11,456.2,529.3,410.94,265.09,184.08,194.08,4,1
